frame_name		left	top	right	bottom
yellow_ripper_01		422	46	438	54
orange_ripper_01		440	46	456	54
red_ripper_01		458	46	474	54
brown_ripper_01		476	46	492	54
frozen_ripper_01		494	46	510	54
green_waver_01		42	60	58	76
green_waver_02		60	62	76	74
green_waver_03		78	64	94	72
blue_waver_01		96	60	112	76
blue_waver_02		114	62	130	74
blue_waver_03		132	64	148	72
frozen_waver_01		150	60	166	76
frozen_waver_02		168	62	184	74
frozen_waver_03		186	64	202	72
yellow_skree_01		15	30	31	54
yellow_skree_02		33	30	51	54
