frame_name		left	top	right	bottom
enegy_tank_01		3	4	19	20
enegy_tank_02		21	4	27	20
enegy_tank_03		39	4	55	20
enegy_tank_04		57	4	73	20
missile_rocket_01		75	4	91	20
missile_rocket_02		93	4	109	20
missile_rocket_03		111	4	127	20
missile_rocket_04		129	4	145	20
maru_mari_01		3	25	15	38
maru_mari_02		17	25	29	38
maru_mari_03		31	25	43	38
maru_mari_04		45	25	57	38
bomb_01		59	22	73	38
bomb_02		75	22	89	38
bomb_03		91	22	105	38
bomb_04		107	22	121	38
long_beam_01		4	45	20	61
long_beam_02		22	45	38	61
long_beam_03		40	45	56	61
long_beam_04		58	45	74	61
ice_beam_01		76	45	92	61
ice_beam_02		94	45	110	61
ice_beam_03		112	45	128	61
ice_beam_04		130	45	146	61
ice_beam_05		4	65	20	81
ice_beam_06		22	65	38	81
ice_beam_07		40	65	56	81
ice_beam_08		58	65	74	81
high_jump_01		76	65	92	81
high_jump_02		94	65	110	81
high_jump_03		112	65	128	81
high_jump_04		130	65	146	81
wave_beam_01		4	84	20	100
wave_beam_02		22	84	38	100
wave_beam_03		40	84	56	100
wave_beam_04		58	84	74	100
enegy_ball_01		76	110	84	118
enegy_ball_02		86	110	94	118
rocket_ball_01		96	106	104	118
rocket_ball_02		106	106	114	118
varia_01		76	84	91	100
varia_02		94	84	109	100
varia_03		112	84	127	100
varia_04		130	84	145	100
crew_attack_01		4	103	20	119
crew_attack_02		22	103	38	119
crew_attack_03		40	103	56	119
crew_attack_04		58	103	74	119
