frame_name		left	top	right	bottom
samus_aran_01		8	7	32	52
samus_aran_02		42	7	66	52
samus_aran_03		76	7	100	52
samus_aran_04		110	7	134	52
samus_aran_05		144	7	168	52
samus_aran_06		178	7	202	52
samus_aran_07		212	7	236	52
samus_aran_08		246	7	270	52
samus_aran_09		280	7	304	52
samus_suitless_01		312	4	336	52
samus_suitless_02		342	4	366	52
samus_suitless_03		371	4	395	52
samus_suitless_04		401	4	425	52
samus_suitless_05		431	4	455	52
samus_suitless_06		461	4	485	52
samus_suitless_07		491	4	515	52
samus_suitless_08		521	4	545	52
samus_suitless_09		551	4	575	52
samus_goodbye_01		581	4	609	52
samus_goodbye_02		611	4	639	52
samus_disappear_01		647	4	675	52
samus_disappear_02		683	8	710	52
